content,mid,like
"我不太认可半佛这期视频的观点。
你只是提到了目前大城市的情况，然而那种四五线小城市呢?农村地区呢?你不能仅以生活节奏快的大城市为例就去印证整个观点，现在的小城市，我身边的不少人，五点准时下班去买菜，回家做饭是为了什么呢，因为便宜而且相对可口，甚至比外卖包都便宜。",35612202,1052
半佛老师说的太对了，我爸几个月前就有说过未来预制菜会大行其道，以目前大部分平民老百姓的日常消费来看，它的优势太大了，能进行批量生产，成本能控制，生产效率高，每样菜更科学的配比，每样菜之间味道控制稳定不会出错等等等等，未来还有可能将会出现一个个价格低廉的集体食堂，他说现在就看有谁能进这片市场分一杯羹了[热],21888880,800
"我的观点还是一样，预制菜对于外卖行业不是坏事，先进的合格卫生的工业生产淘汰落后的外卖作坊是好事，这是社会生产的基本原理。[热]
毕竟大家日常吃饭是为了吃饱和卫生，天天图好吃和多样，啥家庭啊？缺孩子吗？[脱单doge]
担心美食消失就大可不必了，人们对吃的要求越来越高的时候，这些产品自然也会迭代，各位现在见到的所谓传统美食，也都只是工业化后的产品。

不用太悲观，同志，发展的问题会在发展中解决。将来肯定会出现更多样的美食的，合规合格的预制菜顶替不卫生的小作坊我认为可行[热]",288629347,2750
亲爱的半佛老婆，您在2022年1月21那一期 “第一整活狂魔，广告法的一生之敌--叶茂中 ”在开头1分20秒左右提到广告法的三大对手，分别是杜国楹，史玉柱和叶茂中，后面二者已经讲述过他们的商业传说，但首位还未提及。作为一位小小粉丝，每次复习都有注意，希望您能填个小坑，了却我等心愿。,35103949,1641
"但预制菜实际上是有个非常巨大的漏洞的，这里我很赞同半佛老师说的发展趋势，但预制菜仍然存在一个阈值天花板，就是人味蕾的接受度：
比如我在英国就吃过很多预制菜，英国的大型商场比如TESCO等你都可以买到微波炉热一下就得到的各种快餐便当
但是！预制菜不可能替代新鲜食材的市场
如果你吃就会发现，除了面包这类本身就是做好了能够长期或者短期保持食品新鲜口感的食品，人的味蕾是可以很清晰的分辨出食物的口感的，很多预制菜它真的不好吃！为什么，油炸的薯条用烤箱5min但不是油炸的味道，还有很多菜的调味，预制的菜包什么的非常不好吃，而且就算好吃也会要求你对于厨房里的技术有一定的掌握，比如控火，刀工，食材添加和一些事物素材的理解。
可以肯定的是，预制菜会一定程度解放人忙碌无饭可吃的尴尬境地
但田园状态还是会存续并以一定数量保持下去的
因为人不是为了工业化而工业化，人的本质还是需要美食刺激的，而美食的刺激，往往是可以通过双手经过一定的积累得到的，比如你做个满汉全席不可能，但做个鱼香肉丝满足自己一生不给工业化料包钱还是很划算的。
料包不方便，也不会都好吃，因为人的口味千差万别，工业化的目标是统一，但人的口味永远是复杂的。除非退化",99038330,108
本质问题还是现在的年轻人，整体工作生活的强度高于从前，导致回家后没有时间和精力做饭，更不要提享受烹饪和就餐的过程…我在南欧生活过一阵子，大部分城市八点半下班的超市，八点就不让进人了…他们的本地人确实能保证八小时睡觉，八小时工作，八小时享受生活。所以他们的餐馆就很少用预制菜，因为受众的心态大相径庭,48244992,151
"10年前  妈妈：没事别去饭店吃饭，饭店的饭不安全，没事自己做饭吃
现在     妈妈：没事就去饭店吃个饭，别老整哪些外卖，都是预制菜，吃多了不健康
10年后  妈妈：少吃点营养液，整点预制菜吃也行，最起码里面有蔬菜，营养液吃多了不安全
未来我们还能降低到什么样的标准呢……",20174773,247
"我们这有家做预制菜的公司，寿光的工厂，潍坊的平台。主推学校食堂，酒店后厨，工厂食堂。这个公司做小食堂起家，疫情期间全程封了，美团，饿了么都不能送了。但他们公司拿了文件，只有他们可以送餐，疫情的两年时间公司起飞了。
随后做预制菜平台，之前的小食堂渠道全部推进预制菜。
我有幸认识销售经理，一起聊过他们公司的平台，当时平台还没开放。然后我帮他们做了一套宣传ppt。
内容和up的观点差不多，巧了吧。趋势！
但我从13年开始做销售，明确说一下现在的销售模式。特别是网络段视频兴起之后啊。
之前对一个物体的评价、判断。
经验?认知?判断?概念（味精好吃无害）
概念?认知?经验?判断（想要好吃无害用味精）
发现了么，大众还没有对产品，产生判断之前概念先出来了。
这就是网络先行，概念先出，引导认知。
目前预制菜的试用学校，已经引起食用者的反感，那么为什么还有人在推预制菜呢。
答:预制菜受益者和雇佣者。",37262662,54
"想起我姑丈了，我姑丈姑姑就是菜市场的菜贩，老两口十年如一日的在菜市场买菜，把大半辈子都砸在了两个四坪小摊上。以前去姑姑家玩帮他们照看过摊位，其实单纯的“卖菜”并不累。累的是跑批发市场，装货，卸货的过程。我姑丈一直是12点上床睡觉，三点不到起床，然后开着他那辆二手小卡车去远离市区的农贸批发市场进货，一进就是二十几箱，各种蔬菜都有，而且这个运输成本是不算人力的，顶多把油钱加到菜的定价上，因为哪怕你比别贵了1毛钱别人也不会来你家买菜。
有年春节我去姑丈那看望他，姑姑带着堂妹会老家了，留下姑丈一人在顺德卖菜。三洲菜市场的那两个摊位还是如往常那样，只不过这次只剩下姑丈一人。
我到的时候是中午，已经过了饭点，偌大的市场已经没有什么顾客了，姑丈赤着上半身，靠着摊子的边沿眯起眼睛休息。见到我后他很开心，因为我是春节里为数不多可以和他聊天的人了。
那天下午市场没什么人来买菜，因为三洲的居民大多是外地人，就像候鸟一样。我和姑丈聊了很多，他就着半包南京把所有攒下的话都说了。我看他抽烟抽得这么勤，于是半开玩笑的劝他戒烟。他没看我，只是默默地掐着上一根的烟屁股续上一根，回我“嗐，你看我还能活几年啊？”。他苦笑着，我也没再提戒烟这档子事儿了，因为我明白了，这个忙碌了大半辈子平凡男人我帮不上，但烟可以。",168853716,315
"1.预制菜可以有，但是不能强制，你不能把食堂全换成预制菜，让学生没有选择的权利
2.同样的道理，想吃预制菜的可以买，但不能强迫别人吃，同样想吃新鲜的同理
3.预制菜卖现炒的价钱就是该死，就是欺骗消费者，饭店卖预制菜给顾客，那我为什么不自己回家加热预制菜？
4.我喜欢吃新鲜的菜，我吃过预制菜，确实没有现做的好吃",79536124,25
想起了小学一篇课文《不应当只记得》我那时还觉得这个课文是废话文学，现在想想它说的   不应当只记得牛奶是从瓶子里倒出来的，还应当知道，牛奶是从奶牛身上挤出来的，不应当只记得，苹果是从篮子里拿出来的，还应当知道，苹果是从树上摘下来的。我就记得这两句话了，感慨，我自己长大了之后可不就是这挤牛奶摘苹果还不被记得的人吗,38076621,101
弹幕说自己妈妈做菜只要半小时，一看就是没下过厨房。一家三口按三道菜算，如果没汤只有炒菜，光开火时间就20-30分钟，三道菜加配料意味着至少要摘+洗+切至少3-6种植物、切至少3种调味料（葱姜蒜），光摘菜洗菜切菜这种备菜时间就20分钟还得是菜本身比较干净+手脚灵活，如果有土豆等脏兮兮的根茎类主菜或者要去皮的，40分钟备菜也正常，如果还有需要从头处理的肉（鸡鸭鱼鱼或者带骨肉），一小时都得花进去！这还不算去菜场买菜、饭后收拾厨房、饭后洗碗的时间……说真的，一家三口做丰盛一点前前后后至少得花两个多小时进去，像我这种手慢的准备过一次荤素皆有的三菜一汤，前后3小时……,6347611,28
我就想问一下。。。但总有些人的口味，工业化，他涵盖不了啊。我有个同学，就特别喜欢吃，不放料的菜口味清淡得不得了。以手作来看，成本低，以工业流水线来看，成本巨高，因为根本没几个工业产品会照顾这种口味。,129270622,38
这件事真的让我没想到的是每个人看法竟然不一样，竟然有人支持这种东西，我工作原因不得不吃外卖，但是我自己是享受做菜的过程的，哪怕做的难吃也会觉得比外卖好吃，慢慢来就是了，总有做的好吃的一天，结果现在这个民义食为天的国度，竟然接受吃饱得了的思想，而且是很多人如此?!不能理解，你们的时间那么有意义?就没有时间去浪费了?那你们可真牛,40915842,7
一群人都拿预制菜没问题当挡箭牌，但是你有没有想过“我”到底想不想吃预制菜？“我”如果不想吃预制菜，食堂能提供现炒菜么？凭什么你们说预制菜没问题就能剥夺我吃现炒菜的权力？,36854042,14
我虽然没有做饭的时间，但我要有做饭的自由。工业品要是取代了生活，那我们和喝汽油的机器有啥区别,395268441,20
"预制菜大城市可以，小地方还是很难的。暑假跟我姐生活了半个多月，天天自己煮，每天至少四五个菜起，一个小时搞定，菜里少根葱都不行，太讲究有追求了。生活不行，吃的必需得对的起自己的肚子。
现在我回大城市，感觉和我姐的比，吃的真的就是填饱肚子，没什么追求了，太可怜了。",524074029,129
"预制菜最简单的一点，低成本，会逼死多少新鲜炒菜的店家。

有一瞬间，我不清楚是我脑子穿越了还是这个世界魔幻了，你们天天就喜欢吃制式菜品啊。

我只觉得有太多人的财产压上边了吧，最基本的问题都想不清楚。
这些方面他逐渐靠近资本，他就会一步一步失去人性的部分。
这家炒菜跟那家炒菜一样，现在全国的商场不就这样，有啥不一样，不就这几个牌子，不就当季新品，逛商场我都不想看，没意思。
菜都一样了，你也不用旅游了啊，都没啥区别。",553667657,7
"可以一天不玩，一天不买东西，饭不能一天不吃吧，现在被生活高压折磨到清心寡欲的社畜连好好吃顿饭的资格都没了么，人始终是俗物，口腹之欲无可奈何，很难理解那些连吃饭都能够以“理性解构”心理来看待的年轻人[藏狐]，真让你喝一个月葡萄糖怕是到时白饭撒盐你都能下三碗[嗑瓜子]，资本的可恶就在这，一步步温水煮青蛙的降低人们的生活标准线。
对于外卖，预制菜应该标明是加工预热预制菜，而不是用预制菜冒充现炒现卖，这才是应该管理的。",14850457,40
希望自动化炒菜机和自动化切菜机能干翻预制菜，起码能让我吃到新鲜的饭。,34965912,96
