content,mid,like
为什么连锁火锅或者卖预制菜的店越来越多？一个是方便扩张，另外就是厨师真的不好找，稍微有点技术的厨师，或者自认为有点技术的厨师，要么逐年往高了要价，要么要求技术入股做股东分红，而火锅之类的连锁基本只需要几个切墩的，卖预制菜的甚至只需要培训几个原先擦桌子洗碗的阿姨就可以开店。,192775,144
从外地来杭州定居的人说一句，外婆家在杭州的卖点从来都是便宜（它的一些家常菜比路边小店可能都便宜）+正规大餐厅（宴请的话看起来档次还可以，不是路边小店那种，菜的摆盘也比较高大上，也有名气）+品质稳定（毕竟预制菜，不好吃也不难吃）+卫生条件有保证（大品牌），如果你出去玩，到一个地方不知道吃啥，就可以吃外婆家，毕竟其他店不知道多贵，也不知道是不是难吃，更不知道是否卫生。另外就是没钱的时候，一些必要的请客也可以选这里，毕竟餐厅档次名气还可以。每个省会其实都会有一家类似定位的店。,1448983,268
说的不准确，外婆家不是预制菜，也不是料理包，而是中央厨房，每天由地区的中央厨房集中处理食材，加工以后送到各个分店，在分店完成这道菜的最后一步，有的是加热 有的是炒一下，有的是烤一下，都不一定，所以口味上统一，但是食材上绝对保持了水准，也就是说你去外婆家不一定很好吃，但是绝对不会太差也不会错，这就是为什么外婆家总有人排队有外地人吃的原因,7377275,655
18年的时候在北京一个豪华商场里吃了一家预制菜店，印象很深刻，主要是价钱方面的，素菜十几二十，荤菜二十到五十，最离谱的是麻婆豆腐，两块钱一份还特别好吃，而且还能点多份。我觉得这才是预制菜该有的样子，用了预制菜必然压低成本，就应该发挥出低价格的优势，用低廉的价格、过得去的味道，给客人留下深刻印象,42908954,1678
"肯德基麦当劳的预制，最后一道工艺是烤或者炸。  味道损失有限。
中餐预制现在最后一道工艺是热一下，味道就差远了。  
蒸，最适合预制，然后是炖菜，炒菜现在可以依靠炒菜机解决标准化，这才是出路。",384899646,184
[doge]其实很多人并不是抵制预制菜，是抵制你既然都用低成本的预制菜了，还没压下来价格的店子。,4273846,10580
哈哈哈哈，我就知道，但凡吃过楼外楼的，以后每吃一家餐馆都会拉踩楼外楼。比他难吃的都没他贵，比他贵的都没他难吃。[doge][doge][doge],289414096,1313
省流：15w赞王师傅给毛毛亲自下厨！一桌子菜！,34477711,12182
王师傅这一天天和一群妹妹玩鸭鸭杀可是玩得越来越懂小姑娘了[吃瓜],4990889,1082
很多人可能对江浙沪的物价有些误解，本人在江苏小县城的一家路边摊点一份麻婆豆腐也得18块。。。,43045045,115
真是失业之后重心转移。感觉现在节奏真是完全王师傅把控。早期的毛毛专业讲述，提前做功课，现在成了王师傅的点评专场感觉[妙啊],27613513,275
绿茶，外婆家，桂满陇，刚开的时候其实都很好吃的、、但是做大了逃不开的3条路，中央厨房，主厨被挖走，合伙人分家。。。新白鹿也在变烂的路上了。想吃的趁早去吃[微笑],298747911,823
"20w去新白鹿是因为不想去15w亲自做给毛毛吃是因为他想不愧是公款恋爱[害羞]他真的，我哭死[大哭][大哭]",39382425,3097
省流“王师傅主动提出要给毛毛做一大桌子菜，毛毛欲拒还迎，最后羞涩地点了点头”[doge],162594574,163
我和老王口味差不多的，外婆家真的去多几次，就一点都不想点荤菜，像豆腐、四季豆之类的素菜反而味道还行，荤菜就是纯预制菜的味道，和外面外卖什么都差不多,9585167,6
别说15w，你给毛毛做一桌子菜我们150w都点。[妙啊],3900671,159
"外婆家死忠粉。。。或者说剁椒鱼头面死忠粉，外婆家被我吃成面馆，那家店都认识我了，我和媳妇去就是一份鱼头四份面两个打包盒。。。店里吃一顿剩下带回去第二天再吃一顿。
鱼头面非常非常非常好吃，但是有两点，第一鱼头你就当调剂随便叉点就行了，主要吃面，第二不加面的话送的那一份因为泡的时间太长会非常咸，但是再怼一份面进入就差不多正好，非常好吃。！！！！",39799408,2
第一次看两位up主，从面相来看，女方应该很挑惕，男的忠厚老实做辅助感觉。其实看到最后人设是反的，给人一种反差感。,511208358,33
"[脱单doge][脱单doge][脱单doge]看恋爱的XDM我发现了一条重大的线索（因为我每期都自下往上看评论，评论太有趣太鲜活了，不是那些敷衍的+1）
毛毛最近状态不好，去看心理医生了（患了抑郁症），所以王师傅就自己个人出镜拍了几集，文案也是他写的，可能不想毛毛负担那么重，但状态还是偶尔起伏。所以王师傅就想带毛毛出去散散心见见朋友，就把去杭州的行程提上来了，日期也和战鹰联动没约上（节奏是另一方面）放弃更多的热度和热度却为毛毛着想，也和朋友千雪姐姐见了面。现在又为毛毛亲自做一桌子饭，上期也向老板玉麒麟请教做饭，如果之前看直播的话也知道王师傅偷偷练手自己做了几期饭，而且那段时间还停播了几天，平时他很勤奋直播的很少无故停播。
所以一切都串起来了！！！他真的很温柔我哭死，所以底下的朋友们该点赞的点赞，阿根廷什么的点赞目标什么的都先停停别催，他们答应过的，不会骗我们的，毕竟离婚这么大的事情都如实公布，也别骂up了",586697,62
南通中南CBD的外婆家已经倒闭了，我觉得有点可惜。因为他真的是一个解决工作日午餐的好去处，约上公司几个人一起去吃比点20多的外卖强多了,5140808,30
"15w赞王师傅给毛毛亲
－－－节选自《15w赞王师傅给毛毛亲自下厨》",167351713,278
[藏狐]用预制菜没问题，但是你不能吧10块钱的预制菜卖我50,37444709,807
预制菜我觉得最好的点反而是家庭使用（前提是别搞一堆乱七八糟的添加剂）。一般小两口真不想做菜2小时，吃饭十分钟，洗碗1h。,1704788,10
"爷每周期待的恋综上线了[打call]
今日份小线索：
点赞15W，
王师傅给毛毛做桌菜[打call]",4958005,245
预制菜说实话没有自己做的好吃，我家以前就是开饭店的，慢慢感觉现在的饭店越来越不好吃，很大程度就是因为预制菜在后厨的大量使用,76620830,18
第一次吃外婆家觉得蛮好吃的，广州也是需要排队，但第二次去的时候就觉得越来越难吃，而且同期谈了个杭州当地妹子，才知道原来当地的外婆家根本就没人去吃[笑哭]  说到预制菜我还记得有一家“绿茶餐厅”好像也是搞这玩意的,63070432,2
虽然菜很咸 但是看视频的我感觉好甜[给心心][给心心],296732,10
老王说的没问题，但是我觉得外婆家的味道还是非常不错的。之前住在常州的时候，有时候工作完不想煮饭就点外卖，其他的外卖吃起来真的一言难尽，但是外婆家的送过来，先不说别的，包装良好，到手里还是热乎的。然后味道也不会很差，起码比一般的外卖要好太多了。爸妈也都挺满意的，感觉外婆家已经走向了一个别的路线了[捂眼],435610890,25
06:37全场最爱这个镜头[星星眼][星星眼][星星眼][星星眼],14270280,150
看到这条视频好伤心，已经有两年没吃外婆家了，但是高中的时候能放学去吃下体育场路那家外婆家真的是很值得期待的事情，很多菜都感觉很好吃。本来一开始很想反驳up，怪up怎么能这么说外婆家，但是再一想高中也已经五六年过去了，那时候好吃确实与现在无关了,275625848,16
关注这么久了，说点真心话，其实刚开始的话没必要那么拼，给自己一点缓冲的空间，没必要为了粉丝一直逼自己高强度更新，毕竟我们希望质量大过数量，这是我一点不成熟小想法。好了我说完了，距离这个视频发出来已经三分钟了，up你歇完了吗？歇完了赶紧更新啊！生产队的驴都不敢这么歇啊！[脸红][脸红],336447525,20
说实话预制菜能开下去很大一部分原因是一些店的品控太差[笑哭] 预制菜主要保证了个下限,3710252,41
毛毛可爱捏[爱心],1247904499,98
怎么说呢，对于连锁店而言预制菜确实是好的选择，因为出品的稳定性对于连锁品牌太重要了，他不会带来多高的上限体验但也不会突破底线。稳定，这不就是连锁店最大的特点么？不然肯德基麦当劳能让你吃之前就已经知道了吗会是啥味还会去吃呢。,503447311,9
解释一下，剁椒鱼头是配清水面 等你把鱼吃的差不多了 再放进去吃面。,8742195,6
"外婆家以前味道还行，价格又特别便宜，一个人吃点俩菜才十几块钱，比苍蝇馆子还便宜，所以才排队。
现在大家吃多了本身就对味道要求高了，它没变好反而变差了，价格也蹭蹭涨，毫无优势了",49493418,7
离了还能在一块这么久，很明显人家只是不喜欢受婚姻束缚，各种关系责任以及财产什么的...... 每次都一堆喊复婚的，是不是搞不清楚情况，人家搁事实上分不了，搁婚姻上也不会再结。,3639103,0
"我刚毕业的时候经常和朋友去吃外婆家，那时候还有3元一例的麻婆豆腐和5元一例的宋嫂鱼羹。
最爱吃外婆红烧肉，记忆中最早版本的外婆红烧肉不送熊掌包，是用鲜笋炖的，第一次吃的时候让我这个北方人大为惊艳，那会也穷，经常上班受了委屈，下班约朋友去外婆家，雷打不动的一道红烧肉一道麻婆豆腐，再加个汤或者素菜，吃一顿也把委屈咽下去了。
后来红烧肉里的鲜笋变成了笋干，再后来分量变少加送熊掌包，再后来3块钱的麻婆豆腐没有了……我们也赚的多了一点，聚餐渐渐的不再选择外婆家。
后来我在大城市工作不顺，回了老家，而老家的两家外婆家都已经关店了，如今我能有6/7年没去吃过外婆家了，我变了，外婆家也变了。",2368370,1
"我堆预制菜不抵抗不反对甚至很欢迎
合法合规的预制菜味道确实不错 我自己都尝试购买过 有那种“25种不同的预制菜”大礼包 味道确实好吃
但是
预制菜进货价肯定比我购买价便宜 而且量大起来的话一定会把价格压低
然后你还把这玩意当成现做的菜价格卖 我就RNM退钱了",69172,6
虽然这桌菜是我和我妈一起做的，要求王师傅一个人做不太厚道，但是希望可以提供一个标准。[doge],16645030,30
单手开可乐，王师傅好帅[星星眼],514167860,13
今年过年做的年夜饭，王师傅可以看看我的，都是很简单的菜[呲牙],25118388,29
"[吃瓜][吃瓜]
我觉得这种是这样的
如果个别地区所谓现做的东西
品控 性价比 调味甚至新鲜度
还不如料理包好吃
那就会给这种店可乘之机",619888874,9
说真的，我们这里很多十几二十年前的老饭店，厨师就是老板，这么多年可以说味道一直没变，但相比新餐厅来说是真的变难吃了。只能说经济水平上来了，中餐进步是非常快的。,4180405,5
